,기준일자,종목번호,종목시가,종목고가,종목저가,종목종가,거래량,거래금액_만원단위,평균가격
0,201907,A000020,9564.347826086956,9644.347826086956,9374.782608695652,9501.739130434782,52058.260869565216,49083.913043478264,9484.94349623146
1,201907,A000080,21660.869565217392,21910.869565217392,21352.17391304348,21641.304347826088,388738.95652173914,843753.0,21627.759146839784
2,201907,A000100,233152.1739130435,235717.39130434784,229500.0,231500.0,62757.913043478264,1509331.5217391304,232138.0506867657
3,201907,A000120,135434.78260869565,137065.21739130435,133565.21739130435,135434.78260869565,42997.565217391304,582928.4782608695,135404.07975072716
4,201907,A000140,10033.91304347826,10545.217391304348,9701.304347826086,10004.782608695652,1102576.043478261,1266895.7826086956,10094.386080502929
5,201907,A000145,15438.695652173914,16660.0,14414.347826086956,15332.608695652174,397612.1304347826,736092.3913043478,15626.601803943044
6,201907,A000150,96782.60869565218,98200.0,95452.17391304347,96965.21739130435,61864.30434782609,610090.1304347826,96751.55806545824
7,201907,A000210,108739.13043478261,110195.65217391304,106173.91304347826,108347.82608695653,112797.0,1212882.7826086956,108158.41452513309
8,201907,A000220,11065.652173913044,11197.826086956522,10897.826086956522,11003.04347826087,22866.08695652174,24838.434782608696,11007.974928819132
9,201907,A000250,35934.782608695656,36576.086956521736,35178.260869565216,35821.739130434784,141818.39130434784,501444.4347826087,35833.53384308534
10,201907,A000270,43006.52173913043,43593.47826086957,42426.086956521736,43034.782608695656,927617.4347826086,3999985.8695652173,43024.20384450956
11,201907,A000440,6728.260869565217,6826.086956521739,6579.565217391304,6683.478260869565,18861.478260869564,12883.304347826086,6671.85282853365
12,201907,A000520,24928.260869565216,25543.478260869564,24197.82608695652,24876.08695652174,56997.260869565216,143641.60869565216,24809.283349161888
13,201907,A000660,74391.30434782608,75608.69565217392,73443.47826086957,74539.13043478261,2993388.2608695654,22449194.782608695,74563.10323288501
14,201907,A000720,48482.608695652176,48915.217391304344,47578.260869565216,47878.260869565216,680412.5652173914,3244690.4782608696,48094.028981618125
15,201907,A000810,261978.26086956522,264086.95652173914,259282.60869565216,261630.4347826087,75398.60869565218,1972512.956521739,261520.531858318
16,201907,A000880,25819.565217391304,26117.391304347828,25484.782608695652,25710.869565217392,174804.8260869565,444929.52173913043,25745.40217234214
17,201907,A000885,32532.608695652172,33491.30434782609,31717.391304347828,32465.217391304348,41106.260869565216,135175.52173913043,32578.52715805591
18,201907,A000890,1195.6521739130435,1230.8695652173913,1169.9565217391305,1194.7826086956522,4150141.7391304346,500005.7826086957,1200.862758356692
19,201907,A000910,4631.086956521739,4821.739130434783,4541.086956521739,4642.173913043478,532034.9565217391,255464.5652173913,4690.991039677405
20,201907,A000970,13191.304347826086,13552.173913043478,12823.91304347826,13089.130434782608,492605.60869565216,669109.2608695652,13166.690835340985
21,201907,A000990,14130.434782608696,14393.478260869566,13726.08695652174,14045.652173913044,809838.5217391305,1142766.7391304348,14050.29554680967
22,201907,A001000,2213.913043478261,2298.913043478261,2144.782608695652,2195.8695652173915,1268311.0,300110.5652173913,2222.4841758715756
23,201907,A001040,97613.04347826086,98517.39130434782,96608.69565217392,97282.60869565218,48810.565217391304,475704.73913043475,97416.80295488777
24,201907,A001060,30469.565217391304,31195.652173913044,29997.82608695652,30469.565217391304,73565.43478260869,228488.26086956522,30580.7035567244
25,201907,A001120,18532.608695652172,18878.260869565216,18295.652173913044,18602.17391304348,135243.78260869565,251886.8260869565,18595.62670437959
26,201907,A001140,6398.260869565217,6781.304347826087,5994.130434782609,6325.434782608696,2843989.8260869565,1905707.2173913044,6366.390282220525
27,201907,A001200,2532.608695652174,2553.695652173913,2487.608695652174,2519.1304347826085,215534.08695652173,54496.13043478261,2517.0202255137447
28,201907,A001210,3177.391304347826,3262.391304347826,3108.2608695652175,3158.2608695652175,78967.56521739131,26254.0,3173.8085964786524
29,201907,A001230,6995.217391304348,7110.869565217391,6897.826086956522,7007.391304347826,220644.39130434784,154978.69565217392,7004.113680865794
30,201907,A001260,12484.782608695652,12791.304347826086,12189.130434782608,12421.739130434782,33258.391304347824,42163.17391304348,12445.232522913897
31,201907,A001340,2887.391304347826,2926.7391304347825,2833.0434782608695,2873.695652173913,275717.47826086957,79614.21739130435,2876.8917234505175
32,201907,A001360,2379.3478260869565,2413.2608695652175,2325.0,2365.0,266035.39130434784,59750.739130434784,2361.913177333621
33,201907,A001390,12086.95652173913,12408.695652173914,11793.478260869566,12004.347826086956,175678.4347826087,216038.69565217392,12085.157640292477
34,201907,A001440,686.1739130434783,693.0434782608696,674.7826086956521,681.7826086956521,1080860.956521739,74050.95652173914,682.2849359730109
35,201907,A001510,690.304347826087,696.2173913043479,682.695652173913,686.9130434782609,1433837.4782608696,98266.73913043478,688.3272648875123
36,201907,A001520,1761.0869565217392,1786.9565217391305,1728.695652173913,1753.4782608695652,218248.1739130435,37711.34782608696,1753.988387096282
37,201907,A001540,10436.521739130434,10537.391304347826,10219.130434782608,10369.565217391304,23404.652173913044,23706.0,10348.734059920416
38,201907,A001550,21450.0,21871.739130434784,20960.869565217392,21313.043478260868,51871.04347826087,111051.17391304347,21372.6122602863
39,201907,A001680,24658.695652173912,25004.347826086956,24397.82608695652,24654.347826086956,85701.91304347826,212206.47826086957,24700.46209673203
40,201907,A001740,5286.086956521739,5376.95652173913,5223.260869565217,5290.434782608696,929479.2608695652,494611.2173913043,5296.55994777139
41,201907,A001820,49143.47826086957,50328.260869565216,47967.391304347824,48756.52173913043,360434.52173913043,1821395.6956521738,48992.84693451639
42,201907,A001840,5565.217391304348,5685.434782608696,5413.04347826087,5500.652173913043,209710.52173913043,119982.91304347826,5534.169211017834
43,201907,A002020,17434.782608695652,17952.17391304348,17150.0,17476.08695652174,100028.86956521739,194063.04347826086,17535.855917795252
44,201907,A002070,9246.08695652174,9839.565217391304,8990.869565217392,10928.260869565218,370390.47826086957,725062.3478260869,9965.942571834667
45,201907,A002100,15373.91304347826,15745.652173913044,14945.652173913044,15204.347826086956,249240.91304347827,387849.39130434784,15310.459476803966
46,201907,A002140,3167.1739130434785,3326.9565217391305,3061.7391304347825,3173.695652173913,3633057.9565217393,1274755.8260869565,3203.80236398181
47,201907,A002210,20015.217391304348,20580.434782608696,19504.347826086956,19843.478260869564,834953.2608695652,1682408.5652173914,20014.25142159862
48,201907,A002320,32730.434782608696,33400.0,32041.304347826088,32536.956521739132,74189.60869565218,241631.1739130435,32643.803526324853
49,201907,A002360,1163.2608695652175,1184.1304347826087,1138.695652173913,1156.0869565217392,1386234.4347826086,162513.52173913043,1159.8295206295654
50,201907,A002410,1688.9130434782608,1723.2608695652175,1641.5217391304348,1670.0,173480.21739130435,29418.739130434784,1678.8029064315383
