,A028050,A005380,A068270,A035720,A005930,A008770,A035420,A005290,A093370,A215600,A006800,A010140,A000100,A000720,A034730,A000660
201907,,1.0,4.5,,,,,,2.5,,2.5,,4.5,,,
201908,,1.0,5.0,2.5,,,,,,2.5,4.0,,,,,
201909,,,,,,,,,,,2.0,,,,,1.0
201910,,,3.0,,,,,1.5,,,5.0,4.0,,1.5,,
201911,1.5,,,1.5,3.5,,5.0,,,,3.5,,,,,
201912,,,4.0,1.0,4.0,,,,,,4.0,2.0,,,,
202001,,,2.0,3.0,5.0,,,,,,4.0,1.0,,,,
202002,,,2.5,,5.0,1.0,,,,,4.0,,,,,2.5
202003,,4.0,1.0,,5.0,,,,,,2.5,,,,,2.5
202004,,4.0,3.0,,5.0,,1.0,,,,2.0,,,,,
202005,,,1.0,5.0,4.0,,2.0,,,,3.0,,,,,
202006,,,1.5,3.5,,,5.0,,,,1.5,,,,3.5,
