,A005380,A035720,A005490,A005390,A048410,A207760,A006400,A073560,A078130,A028300,A084990,A045060,A005290,A215600,A093370,A052260,A005360,A005930,A035420,A014580,A004770,A000660,A008770,A015760,A033250,A017890
201907,,,,,,1.0,,,4.0,,,,2.0,,5.0,,3.0,,,,,,,,,
201908,,,,2.0,,2.0,,,,,,,,4.0,,,2.0,5.0,,,,,,,,
201909,,,,,,,,2.0,,,,,,,,,,5.0,,2.0,,2.0,4.0,,,
201910,,,,,4.0,,,,,2.5,1.0,,,,,,,5.0,,,,2.5,,,,
201911,,,1.0,,2.0,,,,3.0,,,,,,,,,4.0,,,,,,,,
201912,,,,,,,,,2.5,1.0,,,,,,,,2.5,,,,,,,,
202001,,,,,,,,,3.5,,,3.5,,,,,,5.0,,,1.5,,,,1.5,
202002,,,,,1.0,,,,,,,2.5,,,,,,5.0,,,,2.5,4.0,,,
202003,2.5,2.5,,,,,,,,,,,,,,,,5.0,,,,4.0,,,,1.0
202004,2.5,,,,,,,,1.0,,,,,,,,,5.0,,,,4.0,,2.5,,
202005,,3.0,,,,,,,,,,,,,,1.5,,5.0,1.5,,,4.0,,,,
202006,,2.5,,,,,1.0,,2.5,,,,,,,4.0,,5.0,,,,,,,,
