,A051910,A005360,A005380,A035720,A005930,A005490,A068270,A009150,A008770,A012610,A035420,A215600,A005935,A008350,A093370,A028300,A000660
201907,,2.0,1.0,,,,,4.0,,4.0,,,,,4.0,,
201908,,,,4.0,5.0,2.0,2.0,,,,,2.0,,,,,
201909,,,2.0,4.0,5.0,,,2.0,2.0,,,,,,,,
201910,,,,,4.0,,,,,,1.5,5.0,,,,3.0,1.5
201911,,,,4.0,5.0,,,,,,3.0,,,2.0,,,1.0
201912,3.5,,,1.5,5.0,,,,,,1.5,,,,,,3.5
202001,,,2.0,3.0,5.0,,,,,,1.0,,,,,,4.0
202002,4.0,,,2.0,5.0,,,,,,,,1.0,,,,3.0
202003,4.0,,2.0,3.0,5.0,,,,,,,,,,,,1.0
202004,2.0,,3.0,4.0,5.0,,,,,,1.0,,,,,,
202005,2.0,,,5.0,3.5,,,,,,3.5,,,,,,1.0
202006,2.0,,1.0,5.0,3.0,,,,,,4.0,,,,,,
