,A051910,A010950,A068270,A005930,A008770,A034220,A009150,A090430,A096770,A215600,A207940,A006400,A008350,A010060,A093370,A000660
201907,,,,,,,1.0,,,,,,,,,
201908,,,,,,,,,,,,,,,1.0,
201909,,,,,,,1.0,,,,,,,,,
201910,,,,,,,,,,1.0,,,,,,
201911,,1.5,3.5,5.0,,,,,,,1.5,,,3.5,,
201912,,,,2.0,,,,,,,,,,,,1.0
202001,2.0,,4.0,5.0,,,,,,,,2.0,2.0,,,
202002,,,,5.0,2.0,1.0,,3.0,4.0,,,,,,,
202003,2.0,1.0,3.0,5.0,,,,,4.0,,,,,,,
202004,,1.5,3.5,5.0,,,,,3.5,,,,,,,1.5
202005,,2.0,,5.0,,,,,4.0,,,1.0,,,,3.0
202006,,3.0,1.5,5.0,,,,,4.0,,,,,,,1.5
