,A020560,A051910,A005380,A035720,A005930,A034220,A009150,A215600,A010140,A000720,A066570,A000660,A003490
201907,,,,,3.0,,1.0,,3.0,3.0,,5.0,
201908,,,,,5.0,3.5,1.0,2.0,,,,3.5,
201909,,1.0,,,5.0,,,,2.0,,,4.0,3.0
201910,,,3.0,,2.0,,,5.0,1.0,,,4.0,
201911,2.0,,,,5.0,,,,3.0,,,4.0,1.0
201912,2.5,,,1.0,5.0,,,,4.0,,,2.5,
202001,,,,,5.0,,,1.5,,,1.5,4.0,3.0
202002,,,2.5,1.0,5.0,,,,,,,2.5,4.0
202003,,,3.5,2.0,5.0,,,,,,,3.5,1.0
202004,,,3.0,1.0,5.0,,,,,,,4.0,2.0
202005,,,1.0,3.0,5.0,,,,,,,4.0,2.0
202006,,,2.0,1.0,5.0,,,,,,,3.0,4.0
