,A068270,A033180,A006400,A011000,A028300,A045060,A003000,A215600,A093370,A005930,A096530,A005935,A010660,A004770,A000660,A009150,A005690,A001360,A019170
201907,3.0,,,,,,,,2.0,5.0,,,,,4.0,1.0,,,
201908,1.0,,,,,,,4.0,3.0,5.0,,,,,2.0,,,,
201909,2.5,,,,,,,2.5,,5.0,,,1.0,,4.0,,,,
201910,,1.5,,,1.5,,,4.0,,5.0,,,,,3.0,,,,
201911,1.0,2.0,,,,,,3.5,,5.0,,,,,3.5,,,,
201912,2.0,,,,,,,,,5.0,,2.0,,,4.0,,,2.0,
202001,2.5,,,,,,,,,5.0,,2.5,,1.0,4.0,,,,
202002,1.5,,,,,1.5,,,,5.0,,3.0,,,4.0,,,,
202003,1.0,,,,,,,,,5.0,3.0,2.0,,,4.0,,,,
202004,2.0,,,2.0,,,,,,5.0,2.0,,,,4.0,,,,
202005,,,3.0,,,,1.0,,,5.0,,,,,4.0,,2.0,,
202006,2.0,,,,,,3.0,,,5.0,,,,,4.0,,,,1.0
