,A051910,A011170,A010950,A068270,A005930,A011790,A034220,A009150,A090430,A033180,A096770,A215600,A003670,A006400,A207940,A000660
201907,4.5,,,,4.5,1.0,,2.0,,,,,,,,3.0
201908,3.5,,,,5.0,,,1.5,,,,,,,1.5,3.5
201909,5.0,3.5,,,3.5,,,,1.5,,,,,1.5,,
201910,2.5,,,,4.5,,,,,,,2.5,4.5,1.0,,
201911,2.5,,,,5.0,,,,2.5,2.5,,2.5,,,,
201912,1.0,,,,5.0,,2.0,,,,3.5,,,3.5,,
202001,,,,2.0,5.0,,,,2.0,,,,,2.0,,4.0
202002,3.5,,,,5.0,,,,,,2.0,,,3.5,,1.0
202003,3.0,,,,5.0,,,,,,1.5,,,1.5,,4.0
202004,2.0,,,,5.0,,,,,,3.0,,,1.0,,4.0
202005,2.0,,1.0,,5.0,,,,,,4.0,,,,,3.0
202006,2.0,,,,5.0,,,,,,4.0,,,2.0,,2.0
