,A047810,A005380,A068270,A011200,A215600,A001120,A066570,A020560,A005930,A034220,A036460,A010140,A064350,A015760,A088350,A139480,A034020,A000720,A003490
201907,,,,,,,,,1.0,,,,,3.0,,,2.0,,
201908,,,,,4.0,,,,,2.5,,,,5.0,,2.5,1.0,,
201909,,1.5,,,,,1.5,,,,,,,5.0,,3.5,3.5,,
201910,2.5,,,,2.5,2.5,,,,,,,,5.0,,2.5,,,
201911,,4.0,2.0,2.0,,,,2.0,,,,,,5.0,,,,,
201912,,2.0,,,,,,1.0,,,,,,4.0,,,3.0,,
202001,,1.5,,,,,,,1.5,,3.5,,,5.0,,,3.5,,
202002,,,,,,,,,2.5,,2.5,,,5.0,1.0,,4.0,,
202003,,3.0,,,,,,,4.0,,,1.0,,5.0,,,2.0,,
202004,,,,,,,,,4.0,,,,1.5,5.0,,,3.0,,1.5
202005,,1.5,,,,,,,3.5,,,3.5,,5.0,,,,,1.5
202006,,2.0,,,,,,,,,,,2.0,5.0,,,,2.0,4.0
