,A020560,A010950,A005380,A008770,A005930,A035720,A009150,A096530,A096770,A035420,A215600,A204320,A078130,A024110,A003490
201907,,1.0,,,,,4.0,,,,,2.5,2.5,,
201908,,,,,,,,,3.0,,1.5,,,1.5,
201909,,,1.5,,,,3.0,,,,,,,1.5,
201910,,,,,,,1.0,,,,,,,,
201911,1.5,,,,1.5,,,,3.5,,,,3.5,,
201912,1.0,2.0,,,,,,,,,,,,,
202001,,,,,1.0,,,,,,,,,,
202002,,,,1.0,,,,,2.0,,,,,,
202003,,1.0,4.0,,5.0,,,3.0,2.0,,,,,,
202004,,2.0,4.0,,5.0,,,,3.0,,,,,,1.0
202005,,3.0,1.0,,5.0,3.0,,,3.0,,,,,,
202006,,3.0,4.0,,1.0,,,,5.0,2.0,,,,,
