,A051910,A010950,A005380,A035720,A005930,A034220,A009150,A096770,A215600,A000720,A066570,A000660
201907,,,,,3.0,,2.0,,,1.0,5.0,4.0
201908,,,,,5.0,,1.5,1.5,,,3.5,3.5
201909,4.5,,1.0,,2.5,2.5,,,,,,4.5
201910,5.0,,3.5,,1.5,,,3.5,,,,1.5
201911,,4.0,1.0,,5.0,,,2.5,,,,2.5
201912,,2.0,,,3.5,,,3.5,1.0,,,5.0
202001,,1.0,2.0,,5.0,,,3.0,,,,4.0
202002,,3.0,,,5.0,,1.0,4.0,,,,2.0
202003,,1.0,3.0,,5.0,,,2.0,,,,4.0
202004,,1.0,4.0,,5.0,,,2.0,,,,3.0
202005,,,2.0,2.0,5.0,,,2.0,,,,4.0
202006,,,3.0,2.0,5.0,,,4.0,,,,1.0
