,A051910,A002700,A035720,A005380,A005930,A008770,A009150,A035420,A096530,A215600,A253450,A082270,A000660
201907,,,2.0,,,,4.0,,,2.0,,,2.0
201908,,,3.0,,,,,,,1.5,1.5,,
201909,,,,,2.0,,,,,1.0,,,
201910,,,2.0,,4.0,,,,,3.0,,,1.0
201911,,,2.0,1.0,3.0,,,,,,,,
201912,,1.0,,,5.0,,,3.5,,,,2.0,3.5
202001,,,4.0,,5.0,1.0,,2.5,,,,,2.5
202002,1.0,,4.0,,5.0,3.0,,,,,,,2.0
202003,,,3.0,4.0,5.0,,,1.5,1.5,,,,
202004,,,3.0,4.0,5.0,,,1.0,,,,,2.0
202005,1.0,,4.0,2.0,3.0,,,5.0,,,,,
202006,,,5.0,2.0,3.0,1.0,,4.0,,,,,
