,A035720,A068270,A005380,A033180,A207940,A028300,A084990,A005290,A054940,A215600,A093370,A005360,A005930,A035420,A096530,A005935,A014580,A000660,A009150
201907,,5.0,,,,,,1.0,,,4.0,2.5,,,,,,,2.5
201908,,5.0,,,,,,,1.0,4.0,,2.0,3.0,,,,,,
201909,,3.5,,,,,3.5,,,1.5,,,5.0,,,,1.5,,
201910,,,,3.0,,4.0,1.5,,,5.0,,,1.5,,,,,,
201911,2.0,4.0,,1.0,,3.0,,,,,,,5.0,,,,,,
201912,2.0,4.0,,1.0,,3.0,,,,,,,5.0,,,,,,
202001,,4.0,,,2.0,,,,,,,,5.0,2.0,,,,2.0,
202002,4.0,1.5,,,1.5,,,,,,,,5.0,,,3.0,,,
202003,3.0,2.0,,,,,,,,,,,5.0,,4.0,1.0,,,
202004,,4.0,1.0,,2.0,,,,,,,,5.0,,3.0,,,,
202005,5.0,,,,2.0,,,,,,,,4.0,3.0,1.0,,,,
202006,5.0,3.0,,,1.0,,,,,,,,2.0,4.0,,,,,
