,A035720,A068270,A005930,A005380,A009150,A035420,A096530,A215600,A207940,A005935,A006400,A093370,A028300,A084990,A000660
201907,,1.0,5.0,,3.0,,,,,,,4.0,,,2.0
201908,,3.0,5.0,,2.0,,,4.0,,,,,,,1.0
201909,,2.0,5.0,,,,,,1.0,,3.0,,,,4.0
201910,,,5.0,,,,,4.0,,,,,3.0,1.0,2.0
201911,4.0,1.5,5.0,,,3.0,,,,,,,,,1.5
201912,3.0,2.0,5.0,,,,,,,1.0,,,,,4.0
202001,2.0,,5.0,,,1.0,,,,3.0,,,,,4.0
202002,4.0,,5.0,,,,,,,2.5,1.0,,,,2.5
202003,1.0,,5.0,,,,2.0,,,3.0,,,,,4.0
202004,2.0,3.0,5.0,1.0,,,,,,,,,,,4.0
202005,4.0,,5.0,,,3.0,,,,,1.0,,,,2.0
202006,4.0,2.0,5.0,,,3.0,,,1.0,,,,,,
