,A050890,A200230,A222080,A005390,A033180,A268600,A097780,A078130,A082270,A032500,A065450,A026940,A247540,A005290,A054940,A215600,A005070,A088800,A093370,A042510,A020560,A131370,A052670,A108230,A005930,A012690,A138080,A230240,A298380,A010140,A008350,A073070,A205470,A043200,A214680,A033250,A293780,A218410,A052420,A060720,A101490
201907,2.0,,,,,,,,,,,,,2.0,2.0,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,,,
201908,5.0,,,2.0,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0
201909,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910,,,,,4.0,,,2.0,,,,,,,,5.0,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,
201911,,,,,5.0,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,1.0,,
201912,,2.0,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,5.0,,,,
202001,,,,,,2.5,,,2.5,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,5.0,,,,2.5,
202002,,,4.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,
202003,,,1.5,,,,,,,3.0,,,,,,,,,,,,,,1.5,4.5,,,,,,,,,,,,,4.5,,,
202004,,,,,,,5.0,,,,,,,,,,,,,,,,,2.5,,2.5,,,,,2.5,,2.5,,,,,,,,
202005,,,5.0,,,,4.0,,,,,,,,,,2.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,
202006,,,5.0,,,,,,,,1.5,,,,,,,,,,,4.0,,,,,,,,3.0,1.5,,,,,,,,,,
