,A035720,A005380,A068270,A033180,A078130,A207940,A082270,A028300,A084990,A051910,A215600,A093370,A005360,A027740,A012690,A005930,A035420,A096530,A014580,A008350,A123690,A136480,A000660,A009150,A065950,A012610
201907,,,,,5.0,,,,,,,2.0,3.0,,,4.0,,,,,,,,1.0,,
201908,,,,,,,,,,,4.0,3.0,1.5,,,5.0,,,,,,,,,,1.5
201909,,,,,,,,,2.5,,,,,2.5,,5.0,,,2.5,,,2.5,,,,
201910,,,,1.0,,,,2.5,4.0,,5.0,,,,,2.5,,,,,,,,,,
201911,,,,3.0,,,,1.5,,,1.5,,,,,5.0,,,,4.0,,,,,,
201912,2.0,,,,,,1.0,,,,,,,,,5.0,,,,,3.0,,4.0,,,
202001,,1.5,,,,,,,,,1.5,,,,,5.0,,,,3.0,,,4.0,,,
202002,3.5,,,,,,,,,2.0,,,,,1.0,5.0,,,,,,,,,3.5,
202003,3.0,,1.5,,,,,,,1.5,,,,,,5.0,,4.0,,,,,,,,
202004,,1.0,4.0,,,3.0,,,,,,,,,,5.0,,,,,,,2.0,,,
202005,4.5,,,,,1.0,,,,2.0,,,,,,4.5,3.0,,,,,,,,,
202006,5.0,,2.0,,,1.0,,,,3.5,,,,,,3.5,,,,,,,,,,
